Sample,shannon_index_tool,clonotype_count_tool,normalized_shannon_index_tool,tool,shannon_index_TCR,clonotype_count_TCR,normalized_shannon_index_TCR,sample_type,clonal_type
CMT-baseline1C_CAGATC,3.4388040413714887,34,0.9751708645121578,MIXCR,8.17235088779641,9354,0.8937822335310074,melanoma,polyclonal
CMT-baseline1C_CAGATC,4.406334726520802,92,0.9744672161112883,IMREP,8.17235088779641,9354,0.8937822335310074,melanoma,polyclonal
CMT-baseline1C_CAGATC,5.024401141795078,200,0.948301280236178,TRUST4,8.17235088779641,9354,0.8937822335310074,melanoma,polyclonal
ESO1-sorted-T-cells_S13_L007,0.8291642850319629,2592,0.1054891556584575,MIXCR,1.0726745756027225,3001,0.13397210615325864,PBMC,monoclonal
ESO1-sorted-T-cells_S13_L007,1.1634791117570062,3682,0.1416939670035416,IMREP,1.0726745756027225,3001,0.13397210615325864,PBMC,monoclonal
ESO1-sorted-T-cells_S13_L007,1.1655975024049976,4154,0.13989698799367853,TRUST4,1.0726745756027225,3001,0.13397210615325864,PBMC,monoclonal
INY1-sorted-T-cells_S14_L007,0.9887398524293695,1565,0.13441926252078457,MIXCR,1.0012016309632297,3229,0.12391220062469323,PBMC,monoclonal
INY1-sorted-T-cells_S14_L007,2.4400284082716763,4392,0.29091109111397095,IMREP,1.0012016309632297,3229,0.12391220062469323,PBMC,monoclonal
INY1-sorted-T-cells_S14_L007,2.222922676093991,5275,0.25936199710525437,TRUST4,1.0012016309632297,3229,0.12391220062469323,PBMC,monoclonal
INY2-sorted-T-cells_S15_L007,0.7922638423756949,1012,0.11449422539631857,MIXCR,0.9605164909041781,7697,0.10733723733855469,PBMC,monoclonal
INY2-sorted-T-cells_S15_L007,1.8753184826488585,3513,0.229699491724411,IMREP,0.9605164909041781,7697,0.10733723733855469,PBMC,monoclonal
INY2-sorted-T-cells_S15_L007,1.6073611011200626,3923,0.19425214276741584,TRUST4,0.9605164909041781,7697,0.10733723733855469,PBMC,monoclonal
JSSBaseline-RNA_GTGAAA,3.438273931293661,39,0.9385058212207267,MIXCR,8.035550723500677,12844,0.8493672173917787,melanoma,polyclonal
JSSBaseline-RNA_GTGAAA,3.7578409424924546,57,0.9294566636809298,IMREP,8.035550723500677,12844,0.8493672173917787,melanoma,polyclonal
JSSBaseline-RNA_GTGAAA,3.9567398689545454,88,0.8837262044168254,TRUST4,8.035550723500677,12844,0.8493672173917787,melanoma,polyclonal
LEK-OT110712A_CCGTCC,3.0132013308730117,44,0.7962606587854992,MIXCR,7.651713004414274,19018,0.7765760041500027,melanoma,polyclonal
LEK-OT110712A_CCGTCC,3.793673146994386,80,0.865734844461236,IMREP,7.651713004414274,19018,0.7765760041500027,melanoma,polyclonal
LEK-OT110712A_CCGTCC,3.9196255774277144,130,0.8052589287911157,TRUST4,7.651713004414274,19018,0.7765760041500027,melanoma,polyclonal
LEK-baseline_CGATGT,2.394503063666271,17,0.8451545199339425,MIXCR,7.207394622478106,16417,0.742565492063221,melanoma,polyclonal
LEK-baseline_CGATGT,3.1762525792144705,28,0.9531985715508999,IMREP,7.207394622478106,16417,0.742565492063221,melanoma,polyclonal
LEK-baseline_CGATGT,3.4023288184782365,58,0.8379205937975671,TRUST4,7.207394622478106,16417,0.742565492063221,melanoma,polyclonal
MP-11-28-12RNA_S2,2.894962240515217,20,0.9663621365873176,MIXCR,8.005115339472688,5440,0.9306613242693045,PBMC,polyclonal
MP-11-28-12RNA_S2,3.2823801624885647,33,0.9387596350891037,IMREP,8.005115339472688,5440,0.9306613242693045,PBMC,polyclonal
MP-11-28-12RNA_S2,3.707384031361828,50,0.9476897314299098,TRUST4,8.005115339472688,5440,0.9306613242693045,PBMC,polyclonal
PT0112-B_S3,1.5890269151739727,5,0.9873179343530822,MIXCR,7.730308502970313,6178,0.8856146200795737,melanoma,polyclonal
PT0112-B_S3,2.3466586149281516,11,0.9786326540397966,IMREP,7.730308502970313,6178,0.8856146200795737,melanoma,polyclonal
PT0112-B_S3,2.2155974961674127,13,0.8637977548064074,TRUST4,7.730308502970313,6178,0.8856146200795737,melanoma,polyclonal
PT0285-B_S5,1.3862943611198906,4,1.0,MIXCR,6.54639997519192,3817,0.7937704988255816,melanoma,polyclonal
PT0285-B_S5,1.3321790402101223,4,0.9609640474436812,IMREP,6.54639997519192,3817,0.7937704988255816,melanoma,polyclonal
PT0285-B_S5,2.228304656679386,11,0.9292752197967885,TRUST4,6.54639997519192,3817,0.7937704988255816,melanoma,polyclonal
PT0310_S9,3.744249751227848,96,0.8203251798859247,MIXCR,1.5207907719755593,53,0.38304255835308226,melanoma,polyclonal
PT0310_S9,4.163525544580838,116,0.8758696852687268,IMREP,1.5207907719755593,53,0.38304255835308226,melanoma,polyclonal
PT0310_S9,4.05517306876221,175,0.7851580083349768,TRUST4,1.5207907719755593,53,0.38304255835308226,melanoma,polyclonal
RAS-baseline_TGACCA,3.3191448851302097,32,0.9577027731538643,MIXCR,6.9418212668367785,4557,0.8240117941458047,melanoma,polyclonal
RAS-baseline_TGACCA,3.503698552304191,41,0.9434847336660483,IMREP,6.9418212668367785,4557,0.8240117941458047,melanoma,polyclonal
RAS-baseline_TGACCA,3.899302665864661,66,0.9306978512455352,TRUST4,6.9418212668367785,4557,0.8240117941458047,melanoma,polyclonal
SAR-11-14-12RNA_S1,3.963012655047353,62,0.9602334901929912,MIXCR,9.598322810808185,26802,0.9413598089909677,PBMC,polyclonal
SAR-11-14-12RNA_S1,6.152714966364989,522,0.983228156490626,IMREP,9.598322810808185,26802,0.9413598089909677,PBMC,polyclonal
SAR-11-14-12RNA_S1,6.298031591997103,701,0.9611635270915098,TRUST4,9.598322810808185,26802,0.9413598089909677,PBMC,polyclonal
TR2-PBMC_S12,6.215669030917165,845,0.9222968631193951,MIXCR,8.07381208053496,9264,0.8839400321191099,PBMC,polyclonal
TR2-PBMC_S12,7.774007642701123,3318,0.9589114343968628,IMREP,8.07381208053496,9264,0.8839400321191099,PBMC,polyclonal
TR2-PBMC_S12,7.79737645367015,3915,0.9425578605190981,TRUST4,8.07381208053496,9264,0.8839400321191099,PBMC,polyclonal
HM-baseline1C_CGATGT,0.0,1,0.0,IMREP,4.680209353940679,3548,0.5725629521721722,melanoma,polyclonal
HM-baseline1C_CGATGT,0.9705850459896168,4,0.7001291163051033,TRUST4,4.680209353940679,3548,0.5725629521721722,melanoma,polyclonal
