Sample,tissue,tissue_type,repertoire_type,class,total_reads_tool,total_reads_RNA_seq,tool,TCR_derived_by_RNA_seq_tool
addsample01,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,243.0,101924084,MIXCR,2.384127386418307
addsample02,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,560.0,104352202,MIXCR,5.366441620465277
addsample03,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,119.0,89333304,MIXCR,1.332089989641489
addsample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,97.0,120840832,MIXCR,0.8027088062419167
addsample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,664.0,90101915,MIXCR,7.369432714054967
addsample06,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1124.0,97169398,MIXCR,11.567427843897931
addsample07,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,216.0,99240419,MIXCR,2.176532527537998
addsample08,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,328.0,107430151,MIXCR,3.0531465975506262
addsample09,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,149.0,93539596,MIXCR,1.5929083123258303
addsample10,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,232.0,103818947,MIXCR,2.2346595366643434
addsample01,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,192.0,101924084,IMREP,1.8837549719848354
addsample02,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,380.0,104352202,IMREP,3.6415139567442956
addsample03,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,121.0,89333304,IMREP,1.3544780566942871
addsample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,93.0,120840832,IMREP,0.7696074121700851
addsample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,441.0,90101915,IMREP,4.89445757062988
addsample06,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,693.0,97169398,IMREP,7.131874996282266
addsample07,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,182.0,99240419,IMREP,1.8339301852403505
addsample08,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,248.0,107430151,IMREP,2.30847669570901
addsample09,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,126.0,93539596,IMREP,1.3470231365976821
addsample10,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,165.0,103818947,IMREP,1.5893052739207614
addsample01,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,738.0,101924084,TRUST4,7.240683173566711
addsample02,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1042.0,104352202,TRUST4,9.985414586651462
addsample03,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,447.0,89333304,TRUST4,5.003732986300383
addsample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,283.0,120840832,TRUST4,2.341923630582087
addsample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1692.0,90101915,TRUST4,18.778735168947296
addsample06,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2076.0,97169398,TRUST4,21.364751071113975
addsample07,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,508.0,99240419,TRUST4,5.118882055506034
addsample08,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,855.0,107430151,TRUST4,7.958659575932272
addsample09,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,520.0,93539596,TRUST4,5.5591431034190055
addsample10,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,566.0,103818947,TRUST4,5.451798697206975
addsample01,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1804.0,101924084,CATT,17.699447757607516
addsample02,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2027.0,104352202,CATT,19.42460207979128
addsample03,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1594.0,89333304,CATT,17.843289441080113
addsample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2105.0,120840832,CATT,17.419608630301386
addsample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2204.0,90101915,CATT,24.461189309905347
addsample06,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2764.0,97169398,CATT,28.445169537841533
addsample07,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1613.0,99240419,CATT,16.25345818017959
addsample08,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3520.0,107430151,CATT,32.76547568103111
addsample09,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1726.0,93539596,CATT,18.45207883942539
addsample10,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,1638.0,103818947,CATT,15.777466901104285
