Sample,shannon_index_tool,clonotype_count_tool,tool,shannon_index_TCR,clonotype_count_TCR,repertoire_type,tissue,tissue_type,absolute_error,class
SRR5233637,2.243329608800698,10,MIXCR,7.712411317358423,27947,polyclonal,small_intestine,T_cell_poor,5.469081708557725,T_cell_poor_polyclonal
SRR5233637,4.060568566070214,61,IMREP,7.712411317358423,27947,polyclonal,small_intestine,T_cell_poor,3.651842751288209,T_cell_poor_polyclonal
SRR5233637,3.7074846698500865,45,TRUST4,7.712411317358423,27947,polyclonal,small_intestine,T_cell_poor,4.004926647508336,T_cell_poor_polyclonal
SRR5233639,4.806690398603925,172,MIXCR,10.059157488514513,202869,polyclonal,lymph_node,T_cell_rich,5.2524670899105885,T_cell_rich_polyclonal
SRR5233639,6.752854532470764,1024,IMREP,10.059157488514513,202869,polyclonal,lymph_node,T_cell_rich,3.3063029560437496,T_cell_rich_polyclonal
SRR5233639,6.18905652454335,802,TRUST4,10.059157488514513,202869,polyclonal,lymph_node,T_cell_rich,3.870100963971163,T_cell_rich_polyclonal
sample01,0.5357706407070282,2215,MIXCR,1.0726745756027232,3001,monoclonal,PBMC,T_cell_rich,0.536903934895695,T_cell_rich_monoclonal
sample01,0.8241193768746187,2953,IMREP,1.0726745756027232,3001,monoclonal,PBMC,T_cell_rich,0.2485551987281045,T_cell_rich_monoclonal
sample01,0.9589336384180306,3427,TRUST4,1.0726745756027232,3001,monoclonal,PBMC,T_cell_rich,0.11374093718469258,T_cell_rich_monoclonal
sample02,0.7809637913014825,1414,MIXCR,1.0012016309632135,3229,monoclonal,PBMC,T_cell_rich,0.22023783966173094,T_cell_rich_monoclonal
sample02,1.940627859238891,3501,IMREP,1.0012016309632135,3229,monoclonal,PBMC,T_cell_rich,0.9394262282756776,T_cell_rich_monoclonal
sample02,1.9578902028841958,4138,TRUST4,1.0012016309632135,3229,monoclonal,PBMC,T_cell_rich,0.9566885719209823,T_cell_rich_monoclonal
sample03,0.5372418986173426,1081,MIXCR,0.9605164909041463,7697,monoclonal,PBMC,T_cell_rich,0.42327459228680364,T_cell_rich_monoclonal
sample03,1.3385237979925684,3045,IMREP,0.9605164909041463,7697,monoclonal,PBMC,T_cell_rich,0.3780073070884221,T_cell_rich_monoclonal
sample03,1.6232106839110847,3354,TRUST4,0.9605164909041463,7697,monoclonal,PBMC,T_cell_rich,0.6626941930069384,T_cell_rich_monoclonal
sample04,3.317100786705853,29,MIXCR,9.598322810808305,26802,polyclonal,PBMC,T_cell_rich,6.281222024102453,T_cell_rich_polyclonal
sample04,5.501235731410921,258,IMREP,9.598322810808305,26802,polyclonal,PBMC,T_cell_rich,4.097087079397385,T_cell_rich_polyclonal
sample04,5.429568568189015,286,TRUST4,9.598322810808305,26802,polyclonal,PBMC,T_cell_rich,4.168754242619291,T_cell_rich_polyclonal
sample05,5.852412575530851,425,MIXCR,8.07381208053498,9264,polyclonal,PBMC,T_cell_rich,2.221399505004129,T_cell_rich_polyclonal
sample05,7.094375799225832,1382,IMREP,8.07381208053498,9264,polyclonal,PBMC,T_cell_rich,0.9794362813091482,T_cell_rich_polyclonal
sample05,7.0971161834182,1647,TRUST4,8.07381208053498,9264,polyclonal,PBMC,T_cell_rich,0.9766958971167794,T_cell_rich_polyclonal
sample06,1.0855162310692836,14,MIXCR,8.005115339472702,5440,polyclonal,PBMC,T_cell_rich,6.9195991084034185,T_cell_rich_polyclonal
sample06,3.4786373101561208,106,IMREP,8.005115339472702,5440,polyclonal,PBMC,T_cell_rich,4.526478029316582,T_cell_rich_polyclonal
sample06,1.4664578550770293,25,TRUST4,8.005115339472702,5440,polyclonal,PBMC,T_cell_rich,6.538657484395673,T_cell_rich_polyclonal
sample07,3.0921934819475574,23,MIXCR,8.172350887796423,9354,polyclonal,melanoma,T_cell_poor,5.080157405848865,T_cell_poor_polyclonal
sample07,4.125942835666343,65,IMREP,8.172350887796423,9354,polyclonal,melanoma,T_cell_poor,4.04640805213008,T_cell_poor_polyclonal
sample07,4.9382314564118,160,TRUST4,8.172350887796423,9354,polyclonal,melanoma,T_cell_poor,3.234119431384623,T_cell_poor_polyclonal
sample08,0.0,1,MIXCR,4.680209353940674,3548,polyclonal,melanoma,T_cell_poor,4.680209353940674,T_cell_poor_polyclonal
sample08,0.7647544195674196,3,IMREP,4.680209353940674,3548,polyclonal,melanoma,T_cell_poor,3.915454934373254,T_cell_poor_polyclonal
sample08,1.0789922078775833,3,TRUST4,4.680209353940674,3548,polyclonal,melanoma,T_cell_poor,3.6012171460630906,T_cell_poor_polyclonal
sample09,3.285623502207523,30,MIXCR,8.03555072350065,12844,polyclonal,melanoma,T_cell_poor,4.749927221293127,T_cell_poor_polyclonal
sample09,3.7232237480641337,52,IMREP,8.03555072350065,12844,polyclonal,melanoma,T_cell_poor,4.312326975436516,T_cell_poor_polyclonal
sample09,3.6465724828179678,54,TRUST4,8.03555072350065,12844,polyclonal,melanoma,T_cell_poor,4.3889782406826825,T_cell_poor_polyclonal
sample10,2.8608130343024025,28,MIXCR,7.651713004414275,19018,polyclonal,melanoma,T_cell_poor,4.790899970111873,T_cell_poor_polyclonal
sample10,3.0626472926832187,34,IMREP,7.651713004414275,19018,polyclonal,melanoma,T_cell_poor,4.589065711731056,T_cell_poor_polyclonal
sample10,3.7859339640931466,84,TRUST4,7.651713004414275,19018,polyclonal,melanoma,T_cell_poor,3.8657790403211285,T_cell_poor_polyclonal
sample11,0.8855741515766717,4,MIXCR,7.207394622478104,16417,polyclonal,melanoma,T_cell_poor,6.321820470901432,T_cell_poor_polyclonal
sample11,2.336018901358267,13,IMREP,7.207394622478104,16417,polyclonal,melanoma,T_cell_poor,4.871375721119836,T_cell_poor_polyclonal
sample11,2.6224337693068187,23,TRUST4,7.207394622478104,16417,polyclonal,melanoma,T_cell_poor,4.584960853171285,T_cell_poor_polyclonal
sample12,0.6931471805599453,2,MIXCR,7.730308502970299,6178,polyclonal,melanoma,T_cell_poor,7.037161322410354,T_cell_poor_polyclonal
sample12,1.3296613488547582,4,IMREP,7.730308502970299,6178,polyclonal,melanoma,T_cell_poor,6.400647154115541,T_cell_poor_polyclonal
sample12,2.4014627316993966,12,TRUST4,7.730308502970299,6178,polyclonal,melanoma,T_cell_poor,5.3288457712709025,T_cell_poor_polyclonal
sample13,0.0,1,MIXCR,6.546399975191896,3817,polyclonal,melanoma,T_cell_poor,6.546399975191896,T_cell_poor_polyclonal
sample13,0.6730116670092565,2,IMREP,6.546399975191896,3817,polyclonal,melanoma,T_cell_poor,5.87338830818264,T_cell_poor_polyclonal
sample13,1.4750763110546947,5,TRUST4,6.546399975191896,3817,polyclonal,melanoma,T_cell_poor,5.071323664137202,T_cell_poor_polyclonal
sample14,3.933624836581348,92,MIXCR,1.5207907719755591,53,polyclonal,melanoma,T_cell_poor,2.4128340646057893,T_cell_poor_polyclonal
sample14,3.8507649836902575,83,IMREP,1.5207907719755591,53,polyclonal,melanoma,T_cell_poor,2.329974211714698,T_cell_poor_polyclonal
sample14,4.174940348986652,131,TRUST4,1.5207907719755591,53,polyclonal,melanoma,T_cell_poor,2.6541495770110934,T_cell_poor_polyclonal
sample15,1.564957250242801,5,MIXCR,6.941821266836798,4557,polyclonal,melanoma,T_cell_poor,5.376864016593997,T_cell_poor_polyclonal
sample15,2.400173556827307,12,IMREP,6.941821266836798,4557,polyclonal,melanoma,T_cell_poor,4.5416477100094905,T_cell_poor_polyclonal
sample15,3.1631589618063747,29,TRUST4,6.941821266836798,4557,polyclonal,melanoma,T_cell_poor,3.7786623050304233,T_cell_poor_polyclonal
TCGA-CZ-4862,3.838735100496452,80,IMREP,7.485461601639511,4237,polyclonal,kidney,T_cell_poor,3.6467265011430587,T_cell_poor_polyclonal
TCGA-CZ-4862,3.2696266904478817,41,TRUST4,7.485461601639511,4237,polyclonal,kidney,T_cell_poor,4.215834911191629,T_cell_poor_polyclonal
TCGA-CZ-5463,3.874665375351027,89,IMREP,2.9579658968385854,99,polyclonal,kidney,T_cell_poor,0.9166994785124416,T_cell_poor_polyclonal
TCGA-CZ-5463,2.368103836780867,15,TRUST4,2.9579658968385854,99,polyclonal,kidney,T_cell_poor,0.5898620600577185,T_cell_poor_polyclonal
TCGA-CZ-5985,3.5456715307078794,71,IMREP,5.638248916128657,1415,polyclonal,kidney,T_cell_poor,2.092577385420778,T_cell_poor_polyclonal
TCGA-CZ-5985,1.7935381662985008,9,TRUST4,5.638248916128657,1415,polyclonal,kidney,T_cell_poor,3.8447107498301563,T_cell_poor_polyclonal
