Sample,tissue,tissue_type,repertoire_type,class,total_reads_tool,total_reads_RNA_seq,tool,TCR_derived_by_RNA_seq_tool
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,24.0,72720367,MIXCR,0.33003133771313337
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,580.0,65998918,MIXCR,8.788022858192917
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,0.0,58529923,MIXCR,0.0
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,0.0,122632451,MIXCR,0.0
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,0.0,83862519,MIXCR,0.0
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,185894.0,104984482,MIXCR,1770.6807373684046
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,48760.0,73892845,MIXCR,659.8744438653025
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,67676.0,71654976,MIXCR,944.4703463441255
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,69.0,43179989,MIXCR,1.5979624265304933
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,158.0,40524817,MIXCR,3.89884549015977
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,58.0,82476159,MIXCR,0.7032335247328867
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,2.0,72397468,MIXCR,0.027625275513779017
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,98.0,85492431,MIXCR,1.146300308152426
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,182.0,68584414,MIXCR,2.6536641400770735
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,22.0,63320771,MIXCR,0.34743733616256817
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,4.0,55727841,MIXCR,0.0717774083514199
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,3.0,107919183,MIXCR,0.027798579609336
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,720.0,80622502,MIXCR,8.930509251623077
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,13.0,55931661,MIXCR,0.23242649632736637
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,144.0,72720367,IMREP,1.9801880262788
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,2535.0,65998918,IMREP,38.4097205957225
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,342.0,58529923,IMREP,5.843165042263937
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,420.0,122632451,IMREP,3.4248683490799676
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,437.0,83862519,IMREP,5.21090953635676
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,228248.0,104984482,IMREP,2174.1117892070943
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,57538.0,73892845,IMREP,778.6680834930635
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,74871.0,71654976,IMREP,1044.8820749029348
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,611.0,43179989,IMREP,14.15007308130625
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,489.0,40524817,IMREP,12.066680029671694
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,154.0,82476159,IMREP,1.8672062553252509
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,15.0,72397468,IMREP,0.20718956635334262
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,196.0,85492431,IMREP,2.292600616304852
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,184.0,68584414,IMREP,2.6828252844735245
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,37.0,63320771,IMREP,0.5843264290006829
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,12.0,55727841,IMREP,0.2153322250542597
sample12,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,5.0,107919183,IMREP,0.04633096601556
sample13,melanoma,T_cell_poor,low_SDI,T_cell_poor_low_SDI,477.0,80622502,IMREP,5.916462379200288
sample14,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,37.0,55931661,IMREP,0.6615215664701966
SRR5233637,small_intestine,T_cell_poor,high_SDI,T_cell_poor_high_SDI,142.0,72720367,TRUST4,1.9526854148027057
SRR5233639,lymph_node,T_cell_rich,high_SDI,T_cell_rich_high_SDI,3003.0,65998918,TRUST4,45.50074593647126
TCGA-CZ-4862,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,381.0,58529923,TRUST4,6.509490880416843
TCGA-CZ-5463,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,207.0,122632451,TRUST4,1.6879708291894127
TCGA-CZ-5985,kidney,T_cell_poor,high_SDI,T_cell_poor_high_SDI,77.0,83862519,TRUST4,0.9181694148729304
sample01,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,335248.0,104984482,TRUST4,3193.3100360489466
sample02,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,83325.0,73892845,TRUST4,1127.6463912033703
sample03,PBMC,T_cell_rich,low_SDI,T_cell_rich_low_SDI,124841.0,71654976,TRUST4,1742.2516476734288
sample04,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,833.0,43179989,TRUST4,19.291343497100012
sample05,PBMC,T_cell_rich,high_SDI,T_cell_rich_high_SDI,299.0,40524817,TRUST4,7.378194946568174
sample06,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,508.0,82476159,TRUST4,6.159355699384594
sample07,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,7.0,72397468,TRUST4,0.09668846429822657
sample08,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,320.0,85492431,TRUST4,3.7430214143752676
sample09,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,522.0,68584414,TRUST4,7.611058687473804
sample10,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,102.0,63320771,TRUST4,1.6108458312991798
sample11,melanoma,T_cell_poor,high_SDI,T_cell_poor_high_SDI,35.0,55727841,TRUST4,0.6280523230749241
